House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
11,Aberdeen Knolls,Iain,Morris,39,Husband,Married,Male,Immigration officer,None,Methodist
11,Aberdeen Knolls,Elizabeth,Morris,11,Daughter,NA,Female,Student,None,NA
12,Aberdeen Knolls,Pauline,Lee,85,Head,Single,Female,Retired Television/film/video producer,None,None
13,Aberdeen Knolls,Charlene,Robinson,46,Head,Single,Female,"Radiographer, therapeutic",None,None
13,Aberdeen Knolls,Suzanne,Wilson,48,Partner,Single,Female,"Designer, fashion/clothing",None,None
13,Aberdeen Knolls,Francis,O'Brien-Robinson,15,Son,NA,Male,Student,None,NA
14,Aberdeen Knolls,Kerry,Price,41,Head,Married,Female,"Scientist, research (physical sciences)",None,Christian
14,Aberdeen Knolls,David,Price,46,Husband,Married,Male,Mudlogger,None,None
14,Aberdeen Knolls,Jayne,Price,17,Daughter,NA,Female,Student,None,NA
14,Aberdeen Knolls,Joe,Cook-Price,15,Son,NA,Male,Student,None,NA
15,Aberdeen Knolls,Victor,Rogers,80,Head,Divorced,Male,Retired Volunteer coordinator,None,None
1,Column Avenue,Lorraine,Hayes,53,Head,Divorced,Female,"Horticulturist, commercial",None,Christian
1,Column Avenue,Julie,Hayes,24,Daughter,Single,Female,Research scientist (physical sciences),None,Christian
2,Column Avenue,June,Webb,67,Head,Married,Female,Microbiologist,None,Christian
2,Column Avenue,Sam,Webb,65,Husband,Married,Male,Fashion designer,None,Christian
3,Column Avenue,Sarah,Hussain,53,Head,Divorced,Female,Architect,None,None
3,Column Avenue,Damian,Hussain,12,Son,NA,Male,Student,None,NA
4,Column Avenue,Sharon,Duncan,47,Head,Single,Female,Social worker,None,None
4,Column Avenue,Edward,James,49,Partner,Single,Male,"Psychologist, prison and probation services",None,None
5,Column Avenue,Dale,Newton,20,Head,Single,Male,University Student,None,Christian
5,Column Avenue,Karen,Rogers,19,None,Single,Female,University Student,None,None
5,Column Avenue,Gordon,Wilkinson,20,None,Single,Male,University Student,None,Christian
5,Column Avenue,Duncan,Gibbs,20,None,Single,Male,University Student,None,None
6,Column Avenue,Carol,Smith,58,Head,Married,Female,Research scientist (medical),None,Christian
6,Column Avenue,Antony,Smith-Green,61,Husband,Married,Male,Unemployed,None,None
6,Column Avenue,Carolyn,Smith-Green,27,Daughter,Single,Female,Amenity horticulturist,None,Christian
6,Column Avenue,Kieran,Smith-Green,23,Son,Single,Male,Investment analyst,None,Christian
6,Column Avenue,Ruth,Smith-Green,14,Daughter,NA,Female,Student,None,NA
7,Column Avenue,Carolyn,Thompson,57,Head,Married,Female,"Administrator, education",None,None
7,Column Avenue,Elliott,Thompson,51,Husband,Married,Male,Risk analyst,None,None
7,Column Avenue,Conor,Thompson,34,Son,Single,Male,Financial trader,None,None
7,Column Avenue,Lorraine,Thompson,29,Daughter,Single,Female,"Accountant, chartered certified",None,None
8,Column Avenue,Kate,Khan,66,Head,Widowed,Female,Unemployed,None,Christian
9,Column Avenue,Sandra,Jones,28,Head,Divorced,Female,Unemployed,None,None
9,Column Avenue,Rachael,Jones,5,Daughter,NA,Female,Student,None,NA
10,Column Avenue,Stephanie,Hopkins,30,Head,Single,Female,"Teacher, special educational needs",None,None
10,Column Avenue,Albert,Andrews,37,Partner,Single,Male,Building surveyor,None,None
10,Column Avenue,Kathryn,Hopkins,1,Daughter,NA,Female,Child,None,NA
10,Column Avenue,Danielle,Elliott,19,Lodger,Single,Female,University Student,None,Methodist
10,Column Avenue,Frank,Fry,48,Lodger,Single,Male,Exercise physiologist,None,Christian
10,Column Avenue,Albert,Perry,40,Lodger,Single,Male,"Administrator, education",None,None
11,Column Avenue,Peter,Marshall,44,Head,Single,Male,"Administrator, charities/voluntary organisations",None,Christian
12,Column Avenue,Mandy,Short,44,Head,Divorced,Female,Unemployed,None,Catholic
12,Column Avenue,Shannon,Short,9,Daughter,NA,Female,Student,None,NA
13,Column Avenue,Angela,Evans,25,Head,Married,Female,"Designer, fashion/clothing",None,Methodist
13,Column Avenue,Garry,Evans,26,Husband,Married,Male,"Engineer, building services",None,Methodist
14,Column Avenue,Mitchell,Wood,45,Head,Divorced,Male,Health and safety adviser,None,Catholic
15,Column Avenue,Jennifer,Jones,58,Head,Single,Female,Building surveyor,None,Christian
15,Column Avenue,Lynda,Jones,35,Daughter,Single,Female,Psychiatrist,None,Christian
16,Column Avenue,Joanne,Edwards,18,Head,Single,Female,University Student,None,Methodist
16,Column Avenue,Gordon,Begum,21,None,Single,Male,University Student,None,Methodist
17,Column Avenue,Caroline,Parker,45,Head,Single,Female,Quality manager,None,Catholic
17,Column Avenue,Paul,Jones,45,Partner,Single,Male,Advice worker,None,None
18,Column Avenue,Phillip,Little,44,Head,Married,Male,Microbiologist,None,Catholic
18,Column Avenue,Katie,Little,37,Wife,Married,Female,Counsellor,None,None
19,Column Avenue,Thomas,Johnson,66,Head,Married,Male,Futures trader,None,Christian
19,Column Avenue,Alexandra,Johnson,61,Wife,Married,Female,Metallurgist,None,Christian
20,Column Avenue,Yvonne,Williams,56,Head,Married,Female,Local government officer,None,Christian
20,Column Avenue,Graeme,Williams,60,Husband,Married,Male,Brewing technologist,None,None
20,Column Avenue,Deborah,Williams,18,Daughter,Single,Female,Student,None,Christian
21,Column Avenue,Emma,Hill,32,Head,Divorced,Female,Unemployed,None,None
21,Column Avenue,Jayne,Hill,3,Daughter,NA,Female,Child,None,NA
22,Column Avenue,Raymond,O'Neill,66,Head,Married,Male,Midwife,None,None
22,Column Avenue,Amy,O'Neill,60,Wife,Married,Female,Cabin crew,None,None
23,Column Avenue,Rosemary,Parsons,47,Head,Single,Female,Glass blower/designer,None,Methodist
23,Column Avenue,Martin,Parsons-O'Neill,52,Partner,Single,Male,Government social research officer,None,Catholic
23,Column Avenue,Adrian,Parsons-O'Neill,25,Son,Single,Male,Landscape architect,None,Methodist
23,Column Avenue,Shane,Parsons-O'Neill,14,Son,NA,Male,Student,None,NA
24,Column Avenue,Bethany,Hargreaves,89,Head,Married,Female,Retired Sales promotion account executive,None,Catholic
24,Column Avenue,Luke,Hargreaves,93,Husband,Married,Male,Retired Clinical research associate,None,None
25,Column Avenue,Nicole,Cook,56,Head,Married,Female,Probation officer,None,Christian
25,Column Avenue,Bruce,Cook,59,Husband,Married,Male,Higher education lecturer,None,None
25,Column Avenue,Katy,Cook,31,Daughter,Single,Female,Unemployed,None,Christian
25,Column Avenue,Diane,Cook,29,Daughter,Divorced,Female,"Horticulturist, amenity",None,Christian
26,Column Avenue,Ruth,Jackson,50,Head,Single,Female,Unemployed,None,None
26,Column Avenue,Brett,Jackson,9,Son,NA,Male,Student,None,NA
26,Column Avenue,Carl,Jackson,6,Son,NA,Male,Student,None,NA
26,Column Avenue,Sara,Jackson,2,Daughter,NA,Female,Child,None,NA
26,Column Avenue,Lynda,Jackson,2,Daughter,NA,Female,Child,None,NA
27,Column Avenue,Mark,Young,63,Head,Married,Male,Unemployed,None,None
27,Column Avenue,Lorraine,Young,59,Wife,Married,Female,Investment analyst,None,None
28,Column Avenue,Kate,Taylor,64,Head,Single,Female,Operational investment banker,None,None
28,Column Avenue,Oliver,Bell,13,Grandson,NA,Male,Student,None,NA
29,Column Avenue,Mohammad,Smith,66,Head,Divorced,Male,Unemployed,None,Methodist
30,Column Avenue,Claire,Green,25,Head,Married,Female,Marine scientist,None,Catholic
30,Column Avenue,Anthony,Green,31,Husband,Married,Male,Restaurant manager,None,None
31,Column Avenue,Bethany,Morgan,33,Head,Married,Female,Sports administrator,None,Catholic
31,Column Avenue,Ricky,Morgan,29,Husband,Married,Male,Barista,None,Catholic
31,Column Avenue,Angela,Morgan,4,Daughter,NA,Female,Child,None,NA
31,Column Avenue,Lynn,Morgan,2,Daughter,NA,Female,Child,None,NA
31,Column Avenue,Samuel,Morgan,0,Son,NA,Male,Child,None,NA
32,Column Avenue,Sara,Green,75,Head,Married,Female,Retired Manufacturing engineer,None,Christian
32,Column Avenue,Antony,Green,76,Husband,Married,Male,Retired Engineering geologist,None,Christian
32,Column Avenue,Billy,Green,37,Son,Single,Male,Secretary/administrator,None,Christian
32,Column Avenue,Elliot,Green,37,Son,Single,Male,Optometrist,None,None
32,Column Avenue,Chelsea,Green,35,Daughter,Single,Female,Accommodation manager,None,Christian
33,Column Avenue,Leanne,Kerr,19,Head,Single,Female,University Student,None,None
33,Column Avenue,Ben,Bailey,21,None,Single,Male,University Student,None,Christian
34,Column Avenue,Charlotte,Armstrong,30,Head,Married,Female,"Conservator, museum/gallery",None,None
34,Column Avenue,Denis,Armstrong,33,Husband,Married,Male,Intelligence analyst,None,None
34,Column Avenue,Mary,Armstrong,8,Daughter,NA,Female,Student,None,NA
34,Column Avenue,Samuel,Armstrong,4,Son,NA,Male,Child,None,NA
34,Column Avenue,Victoria,Armstrong,2,Daughter,NA,Female,Child,None,NA
35,Column Avenue,Frances,Norman,38,Head,Married,Female,Podiatrist,None,None
35,Column Avenue,Lewis,Norman,37,Husband,Married,Male,"Engineer, maintenance",None,None
35,Column Avenue,Max,Norman,13,Son,NA,Male,Student,None,NA
36,Column Avenue,Geraldine,Hayward,23,Head,Married,Female,Ergonomist,None,Catholic
36,Column Avenue,Brandon,Hayward,26,Husband,Married,Male,Technical sales engineer,None,None
37,Column Avenue,John,Stephenson,43,Head,Married,Male,Electronics engineer,None,None
37,Column Avenue,Victoria,Stephenson,40,Wife,Married,Female,Travel agency manager,None,None
38,Column Avenue,Hazel,Green,38,Head,Married,Female,Human resources officer,None,None
38,Column Avenue,Gerard,Green,43,Husband,Married,Male,Unemployed,None,None
38,Column Avenue,Ashleigh,Green,2,Daughter,NA,Female,Child,None,NA
39,Column Avenue,Denise,Hilton,42,Head,Single,Female,Unemployed,None,None
39,Column Avenue,Nicola,Hilton,13,Daughter,NA,Female,Student,None,NA
39,Column Avenue,Deborah,Hilton,10,Daughter,NA,Female,Student,None,NA
39,Column Avenue,Graeme,Hilton,8,Son,NA,Male,Student,None,NA
39,Column Avenue,Teresa,Hilton,0,Daughter,NA,Female,Child,None,NA
40,Column Avenue,Vanessa,Kelly,83,Head,Widowed,Female,"Retired Pilot, airline",None,Methodist
40,Column Avenue,Lucy,Kelly,44,Daughter,Single,Female,Unemployed,None,Methodist
40,Column Avenue,Olivia,Kelly,37,Daughter,Single,Female,Telecommunications researcher,None,Methodist
40,Column Avenue,Sylvia,Kelly,32,Daughter,Single,Female,Clinical research associate,None,Methodist
40,Column Avenue,Joshua,Kelly,29,Son,Single,Male,Broadcast engineer,None,None
41,Column Avenue,Leah,Bradshaw,60,Head,Married,Female,Information officer,None,Christian
41,Column Avenue,Joel,Bradshaw,62,Husband,Married,Male,Retail manager,None,None
42,Column Avenue,Joan,Richards,40,Head,Divorced,Female,Unemployed,None,Christian
42,Column Avenue,Grace,Richards,2,Daughter,NA,Female,Child,None,NA
43,Column Avenue,Carly,Chan,54,Head,Single,Female,"Chemist, analytical",None,Christian
43,Column Avenue,Grace,Chan,16,Granddaughter,NA,Female,Student,None,NA
44,Column Avenue,Charlotte,Johnson,79,Head,Single,Female,"Retired Research officer, political party",None,Christian
45,Column Avenue,Lynda,Pearson,49,Head,Married,Female,Animal nutritionist,None,Catholic
45,Column Avenue,Dennis,Pearson-Parsons,51,Husband,Married,Male,Forensic psychologist,None,Catholic
45,Column Avenue,Carol,Pearson-Parsons,28,Daughter,Single,Female,Animator,None,Catholic
46,Column Avenue,Teresa,Hudson,37,Head,Married,Female,Unemployed,None,Christian
46,Column Avenue,Clive,Hudson,39,Husband,Married,Male,Architectural technologist,None,None
46,Column Avenue,Charles,Hudson,1,Son,NA,Male,Child,None,NA
46,Column Avenue,Dawn,Jones,42,Lodger,Single,Female,Trade union research officer,None,None
46,Column Avenue,Glenn,Lee,60,Lodger,Single,Male,Site engineer,None,Catholic
46,Column Avenue,Georgina,Berry,63,Lodger,Divorced,Female,Unemployed,None,None
47,Column Avenue,Sharon,Mason,98,Head,Married,Female,Retired Chartered certified accountant,None,Methodist
47,Column Avenue,Jonathan,Mason,104,Husband,Married,Male,Retired Engineering geologist,None,Methodist
48,Column Avenue,Suzanne,Robinson,24,Head,Single,Female,Higher education careers adviser,None,Christian
48,Column Avenue,Nigel,Lucas,24,Partner,Single,Male,"Editor, film/video",None,Christian
49,Column Avenue,Alan,Scott,29,Head,Single,Male,"Scientist, research (maths)",None,Catholic
50,Column Avenue,Julian,Hawkins,36,Head,Married,Male,"Geologist, wellsite",None,None
50,Column Avenue,Ann,Hawkins,33,Wife,Married,Female,"Scientist, research (physical sciences)",None,None
51,Column Avenue,George,Hunt-White,20,Head,Married,Male,University Student,None,Christian
51,Column Avenue,Lisa,Hunt-White,21,Wife,Married,Female,University Student,None,None
52,Column Avenue,Christopher,Brown,21,Head,Single,Male,University Student,None,None
52,Column Avenue,Janet,Finch,26,None,Single,Female,PhD Student,None,NA
52,Column Avenue,Lynda,Burgess,20,None,Single,Female,University Student,None,Methodist
52,Column Avenue,Melanie,Bailey,21,None,Single,Female,University Student,None,Methodist
52,Column Avenue,Judith,Wong,19,None,Single,Female,University Student,None,None
53,Column Avenue,Josephine,Price,61,Head,Married,Female,Claims inspector/assessor,None,Christian
53,Column Avenue,Charles,Price,63,Husband,Married,Male,Community education officer,None,Methodist
53,Column Avenue,Samuel,Price,28,Son,Divorced,Male,Optometrist,None,Christian
53,Column Avenue,Keith,Price,25,Son,Divorced,Male,Illustrator,None,Christian
54,Column Avenue,Karl,Evans,77,Head,Married,Male,Retired Contracting civil engineer,None,Christian
54,Column Avenue,Nicole,Evans,72,Wife,Married,Female,Retired Magazine journalist,None,None
55,Column Avenue,Jayne,Holloway,75,Head,Widowed,Female,Retired Hydrographic surveyor,None,Christian
56,Column Avenue,Laura,Davies,83,Head,Married,Female,Retired Health promotion specialist,None,Christian
56,Column Avenue,Joshua,Davies,79,Husband,Married,Male,Retired Wellsite geologist,None,Christian
57,Column Avenue,Alison,Clark,77,Head,Widowed,Female,Retired Arts development officer,None,Methodist
57,Column Avenue,Guy,Clark,45,Son,Single,Male,"Investment banker, corporate",None,Methodist
57,Column Avenue,Abbie,Clark,41,Daughter,Single,Female,Armed forces technical officer,None,Methodist
57,Column Avenue,Justin,Clark,41,Son,Single,Male,Multimedia specialist,None,None
57,Column Avenue,Amber,Clark,38,Daughter,Single,Female,"Education officer, museum",None,Methodist
58,Column Avenue,Kathleen,Manning,41,Head,Married,Female,Fashion designer,None,Christian
58,Column Avenue,David,Manning,45,Husband,Married,Male,Theatre stage manager,None,Christian
58,Column Avenue,Sylvia,Manning,12,Daughter,NA,Female,Student,None,NA
59,Column Avenue,Nicola,Riley-Taylor,67,Head,Divorced,Female,Ophthalmologist,None,Sikh
59,Column Avenue,Glen,Russell,26,Son,Single,Male,Building control surveyor,None,Sikh
60,Column Avenue,Lesley,Andrews,34,Head,Married,Female,"Teacher, adult education",None,Christian
60,Column Avenue,Alan,Andrews,35,Husband,Married,Male,Trade union research officer,None,None
60,Column Avenue,Tracey,Andrews,5,Daughter,NA,Female,Student,None,NA
60,Column Avenue,Donald,Andrews,2,Son,NA,Male,Child,None,NA
60,Column Avenue,Lauren,Howard,47,Lodger,Divorced,Female,"Engineer, electronics",None,None
61,Column Avenue,Jemma,Edwards,61,Head,Single,Female,Unemployed,None,None
61,Column Avenue,Russell,Edwards,29,Son,Divorced,Male,Air traffic controller,None,None
62,Column Avenue,Ashley,Hill,50,Head,Single,Male,Unemployed,None,None
62,Column Avenue,Natalie,Hill,18,Daughter,Single,Female,Student,None,None
62,Column Avenue,Alice,Hill,18,Adopted Daughter,Single,Female,Student,None,None
62,Column Avenue,Sophie,Hill,14,Daughter,NA,Female,Student,None,NA
62,Column Avenue,Malcolm,Hill,11,Son,NA,Male,Student,None,NA
63,Column Avenue,Stephen,Talbot,50,Head,Single,Male,Fast food restaurant manager,None,Catholic
63,Column Avenue,Vincent,Talbot,13,Step-Son,NA,Male,Student,None,NA
63,Column Avenue,Mohammad,Talbot,11,Step-Son,NA,Male,Student,None,NA
63,Column Avenue,Gareth,Green,10,Step-Son,NA,Male,Student,None,NA
64,Column Avenue,Clare,Bennett,40,Head,Married,Female,Mudlogger,None,None
64,Column Avenue,Steven,Bennett,43,Husband,Married,Male,Applications developer,None,None
64,Column Avenue,Samantha,Bennett,16,Daughter,NA,Female,Student,None,NA
64,Column Avenue,Lynda,Bennett,15,Daughter,NA,Female,Student,None,NA
64,Column Avenue,James,Bennett,11,Son,NA,Male,Student,None,NA
65,Column Avenue,Michelle,Moore,28,Head,Married,Female,"Teacher, English as a foreign language",None,Catholic
65,Column Avenue,Nathan,Moore,30,Husband,Married,Male,Oncologist,None,Catholic
66,Column Avenue,Holly,Dean,33,Head,Married,Female,"Education officer, community",None,Muslim
66,Column Avenue,Carl,Dean,35,Husband,Married,Male,Magazine journalist,None,None
67,Column Avenue,Kayleigh,Collins,34,Head,Single,Female,Recruitment consultant,None,None
68,Column Avenue,Barbara,Sanders,53,Head,Married,Female,Unemployed,None,Christian
68,Column Avenue,Tom,Sanders,56,Husband,Married,Male,Chiropractor,None,Christian
68,Column Avenue,Patrick,Sanders,22,Son,Single,Male,University Student,None,None
68,Column Avenue,Judith,Sanders,13,Daughter,NA,Female,Student,None,NA
69,Column Avenue,Eric,Rees,48,Head,Divorced,Male,Writer,None,None
70,Column Avenue,Shannon,Reed,27,Head,Single,Female,Art therapist,None,None
70,Column Avenue,Damien,Harris,29,Partner,Single,Male,Science writer,None,None
70,Column Avenue,Sophie,Mason,40,Lodger,Single,Female,Production engineer,None,Catholic
71,Column Avenue,Thomas,Kaur,31,Head,Divorced,Male,Unemployed,None,None
72,Column Avenue,Scott,West,25,Head,Divorced,Male,"Education officer, community",None,Catholic
73,Column Avenue,Ryan,Noble,31,Head,Single,Male,Emergency planning/management officer,None,Catholic
73,Column Avenue,Bethan,Ellis,28,Partner,Single,Female,IT consultant,None,Catholic
74,Column Avenue,Denise,Clements,21,Head,Single,Female,University Student,None,None
74,Column Avenue,Bernard,Carroll,21,None,Single,Male,University Student,None,Methodist
74,Column Avenue,Rebecca,Jones,19,None,Single,Female,University Student,None,None
74,Column Avenue,Ashley,Knight,22,None,Single,Male,University Student,None,Catholic
75,Column Avenue,Jade,Hamilton,42,Head,Divorced,Female,"Pharmacist, community",Disabled,Methodist
76,Column Avenue,Shannon,Griffiths,52,Head,Married,Female,International aid/development worker,None,Catholic
76,Column Avenue,Robin,Griffiths,57,Husband,Married,Male,Health physicist,None,Catholic
76,Column Avenue,Laura,Griffiths,9,Daughter,NA,Female,Student,None,NA
76,Column Avenue,Fiona,Griffiths,6,Daughter,NA,Female,Student,None,NA
76,Column Avenue,Julie,Griffiths,1,Daughter,NA,Female,Child,None,NA
77,Column Avenue,Sheila,Franklin,46,Head,Divorced,Female,Research scientist (medical),None,None
77,Column Avenue,Charles,Franklin,0,Son,NA,Male,Child,None,NA
78,Column Avenue,Eric,Preston,42,Head,Single,Male,Contractor,None,Christian
78,Column Avenue,Donna,Hall,38,Partner,Single,Female,Optometrist,None,None
79,Column Avenue,Vanessa,Nicholson,55,Head,Single,Female,Chartered management accountant,None,None
80,Column Avenue,Mathew,Miah,61,Head,Married,Male,Academic librarian,None,Christian
80,Column Avenue,Linda,Miah,56,Wife,Married,Female,Forensic scientist,None,None
81,Column Avenue,Glenn,Allen,65,Head,Widowed,Male,"Education officer, community",None,Christian
82,Column Avenue,Georgia,Taylor,67,Head,Married,Female,Midwife,None,Christian
82,Column Avenue,Jason,Taylor,68,Husband,Married,Male,Retired Ambulance person,None,None
82,Column Avenue,Kimberley,Taylor,30,Daughter,Single,Female,"Editor, commissioning",None,Christian
82,Column Avenue,Vanessa,Taylor,29,Daughter,Single,Female,Health service manager,None,None
82,Column Avenue,Kelly,Hewitt-Taylor,27,Daughter,Single,Female,Research scientist (medical),None,None
83,Column Avenue,Tony,Murphy,68,Head,Married,Male,"Retired Engineer, communications",None,Christian
83,Column Avenue,Angela,Murphy,68,Wife,Married,Female,"Retired Psychologist, counselling",None,Christian
84,Column Avenue,Emma,Marshall,64,Head,Married,Female,Occupational psychologist,None,None
84,Column Avenue,Joe,Marshall,66,Husband,Married,Male,Immunologist,None,None
84,Column Avenue,Barbara,French,13,Granddaughter,NA,Female,Student,None,NA
84,Column Avenue,Pauline,French,9,Granddaughter,NA,Female,Student,None,NA
85,Column Avenue,Gavin,Booth,43,Head,Married,Male,Financial manager,None,None
85,Column Avenue,Joanne,Booth,44,Wife,Married,Female,Unemployed,None,None
86,Column Avenue,Leigh,Baker,52,Head,Single,Male,Camera operator,None,Christian
86,Column Avenue,Karen,Walters,49,Partner,Single,Female,Surgeon,None,None
87,Column Avenue,Joan,Simmons,56,Head,Single,Female,"Psychologist, educational",None,None
88,Column Avenue,Dominic,Ford,32,Head,Married,Male,"Designer, ceramics/pottery",None,None
88,Column Avenue,Patricia,Ford,26,Wife,Married,Female,Press sub,None,None
89,Column Avenue,Melanie,Foster,31,Head,Single,Female,Trading standards officer,None,Catholic
89,Column Avenue,Frederick,Ward,30,Partner,Single,Male,Careers adviser,None,Catholic
89,Column Avenue,Francesca,Foster,5,Daughter,NA,Female,Student,None,NA
89,Column Avenue,Katy,Foster,2,Daughter,NA,Female,Child,None,NA
89,Column Avenue,Dawn,Foster,0,Daughter,NA,Female,Child,None,NA
90,Column Avenue,Joanna,Frost,57,Head,Married,Female,Colour technologist,None,Catholic
90,Column Avenue,Bryan,Frost,55,Husband,Married,Male,Minerals surveyor,None,None
90,Column Avenue,Pamela,Frost,19,Daughter,Single,Female,University Student,None,None
91,Column Avenue,Jean,Rose,53,Head,Single,Female,"Surveyor, hydrographic",None,Catholic
91,Column Avenue,Conor,Willis,2,Grandson,NA,Male,Child,None,NA
92,Column Avenue,Diane,Pearson,18,Head,Married,Female,Student,None,NA
92,Column Avenue,Alexander,Pearson,19,Husband,Married,Male,University Student,None,NA
93,Column Avenue,Lynne,Thomas,52,Head,Married,Female,"Librarian, public",None,Christian
93,Column Avenue,Elliot,Thomas,55,Husband,Married,Male,Media buyer,None,Christian
94,Column Avenue,Joe,Hamilton,36,Head,Divorced,Male,Research scientist (physical sciences),None,None
94,Column Avenue,Dawn,Heath,10,Step-Daughter,NA,Female,Student,None,NA
95,Column Avenue,Lynne,Burton,53,Head,Single,Female,"Surveyor, land/geomatics",None,Methodist
95,Column Avenue,Julie,Johnston,34,None,Single,Female,Theme park manager,None,Christian
96,Column Avenue,Justin,Smith,44,Head,Divorced,Male,Glass blower/designer,None,Catholic
97,Column Avenue,Victor,Mills,45,Head,Married,Male,"Programmer, systems",None,None
97,Column Avenue,Frances,Mills,45,Wife,Married,Female,Best boy,None,None
97,Column Avenue,Stewart,Mills,14,Son,NA,Male,Student,None,NA
97,Column Avenue,Roy,Mills,11,Son,NA,Male,Student,None,NA
97,Column Avenue,Kelly,Mills,9,Daughter,NA,Female,Student,None,NA
98,Column Avenue,Amber,Owen,58,Head,Single,Female,"Engineer, water",None,Catholic
98,Column Avenue,Sam,Arnold,19,None,Single,Male,University Student,None,Christian
99,Column Avenue,Trevor,Mason,79,Head,Divorced,Male,Retired Cabin crew,None,Christian
99,Column Avenue,Jennifer,Mason,40,Daughter,Divorced,Female,"Horticulturist, amenity",None,None
99,Column Avenue,John,Mason,37,Son,Single,Male,Fisheries officer,None,Christian
99,Column Avenue,Donna,Mason,35,Daughter,Single,Female,Clinical psychologist,None,None
100,Column Avenue,Amber,James,65,Head,Married,Female,Higher education careers adviser,None,Christian
100,Column Avenue,Barry,James,65,Husband,Married,Male,Unemployed,None,Christian
100,Column Avenue,Annette,Arnold,54,None,Married,Female,TEFL teacher,None,None
100,Column Avenue,Marc,Arnold,61,None,Married,Male,Communications engineer,None,None
100,Column Avenue,Alexandra,Arnold,23,None,Single,Female,"Horticulturist, commercial",None,None
100,Column Avenue,Donna,Arnold,10,None,NA,Female,Student,None,NA
101,Column Avenue,Carol,Smith,26,Head,Divorced,Female,Tourism officer,None,Christian
101,Column Avenue,Jean,Smith,2,Daughter,NA,Female,Child,None,NA
101,Column Avenue,Sandra,Smith,0,Daughter,NA,Female,Child,None,NA
101,Column Avenue,Jeremy,Thompson,24,Sibling,Single,Male,Licensed conveyancer,None,Christian
101,Column Avenue,Lewis,Kennedy,35,Lodger,Single,Male,Industrial buyer,None,Christian
102,Column Avenue,Elliot,Owens,27,Head,Married,Male,Best boy,None,Jewish
102,Column Avenue,Ashleigh,Owens,25,Wife,Married,Female,Writer,None,Jewish
102,Column Avenue,Ashley,Owens,0,Son,NA,Male,Child,None,NA
102,Column Avenue,Martyn,Morris,53,Lodger,Single,Male,"Lecturer, further education",None,Christian
103,Column Avenue,Trevor,Heath,69,Head,Married,Male,"Retired Designer, multimedia",None,Christian
103,Column Avenue,Rebecca,Heath,66,Wife,Married,Female,Energy engineer,None,None
104,Column Avenue,Bryan,Hyde,55,Head,Single,Male,Arts administrator,None,Christian
105,Column Avenue,Marian,Price,45,Head,Married,Female,Media buyer,None,None
105,Column Avenue,Donald,Price,45,Husband,Married,Male,"Research officer, government",None,None
105,Column Avenue,Charlene,Price,13,Daughter,NA,Female,Student,None,NA
105,Column Avenue,Dorothy,Price,12,Daughter,NA,Female,Student,None,NA
105,Column Avenue,Raymond,Price,9,Son,NA,Male,Student,None,NA
106,Column Avenue,Patrick,Clarke,50,Head,Single,Male,"Teacher, early years/pre",None,None
106,Column Avenue,Claire,Harrison,46,Partner,Single,Female,"Engineer, maintenance (IT)",None,None
107,Column Avenue,Maureen,Turner,57,Head,Married,Female,Diagnostic radiographer,None,None
107,Column Avenue,Lewis,Turner,61,Husband,Married,Male,Special educational needs teacher,None,None
107,Column Avenue,Sharon,Turner,17,Daughter,NA,Female,Student,None,NA
108,Column Avenue,Kathryn,Allen,66,Head,Married,Female,Environmental manager,None,Methodist
108,Column Avenue,Thomas,Allen,70,Husband,Married,Male,"Retired Scientist, product/process development",None,Methodist
108,Column Avenue,Allan,Allen,34,Son,Widowed,Male,"Engineer, petroleum",None,None
109,Column Avenue,Teresa,Ford,42,Head,Single,Female,"Geologist, engineering",None,Christian
109,Column Avenue,Alex,Green,43,Partner,Single,Male,Photographer,None,None
110,Column Avenue,Paige,Kirby,39,Head,Divorced,Female,Arts administrator,None,Christian
110,Column Avenue,Lindsey,Kirby,7,Daughter,NA,Female,Student,None,NA
111,Column Avenue,Catherine,Clark,19,Head,Single,Female,University Student,None,None
111,Column Avenue,Anna,Ashton,44,None,Single,Female,"Surveyor, planning and development",None,Catholic
111,Column Avenue,Carl,Dean,34,None,Single,Male,Community development worker,None,Christian
112,Column Avenue,Lynn,Rogers,93,Head,Married,Female,Retired Product manager,None,Sikh
112,Column Avenue,Conor,Rogers,95,Husband,Married,Male,Retired Lexicographer,None,Sikh
113,Column Avenue,Teresa,Bennett,49,Head,Married,Female,Lobbyist,None,Catholic
113,Column Avenue,Damien,Bennett,55,Husband,Married,Male,Unemployed,None,None
113,Column Avenue,Wendy,Bennett,17,Daughter,NA,Female,Student,None,NA
114,Column Avenue,Valerie,Buckley,49,Head,Single,Female,Unemployed,None,None
114,Column Avenue,Brenda,Buckley,10,Daughter,NA,Female,Student,None,NA
115,Column Avenue,Judith,Perry,50,Head,Single,Female,Quality manager,None,Christian
115,Column Avenue,Eric,Perry,32,Son,Single,Male,"Editor, magazine features",None,Christian
116,Column Avenue,Francesca,Newman,39,Head,Single,Female,Unemployed,None,Muslim
116,Column Avenue,Ashleigh,Newman,8,Daughter,NA,Female,Student,None,NA
117,Column Avenue,Hayley,Fowler,59,Head,Married,Female,Lawyer,None,Christian
117,Column Avenue,Josh,Fowler,61,Husband,Married,Male,Broadcast engineer,None,Christian
